Species,Method,Abundance,F,CV,Error_para,Scenario
Short-lived,LBSPR,-0.503126404,0.86116245,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.298019798,0.634189597,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.554311362,0.913384103,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.063956099,0.237901376,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.26034176,0.586968864,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.550707659,0.909219032,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.219628139,0.547429886,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.154824482,0.470077995,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.196826861,0.521848208,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.422895726,0.768203147,High,M,High CV*Equilibrium
Short-lived,LBSPR,0.042990449,0.262563929,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.244842613,0.578042305,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.501855131,0.856232072,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.8508619,1.300384012,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.055456674,0.371712583,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.35659573,0.693166595,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.34925781,0.687137421,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.101977806,0.423421664,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.133407153,0.447833705,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.192097847,0.516572593,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.108339971,0.428499221,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.143582958,0.460054561,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.325992689,0.658401059,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.809024824,1.236353456,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.185498766,0.514172528,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.359546223,0.697691364,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.384908261,0.725869972,High,M,High CV*Equilibrium
Short-lived,LBSPR,-0.655880571,0.467777137,High,M,High CV*Equilibrium
